video_id,notflip_frames,flip_frames,mean_full_l1_distance,mean_full_l1_rank_notflip_to_flip,mean_full_l1_pct_notflip_to_flip,mean_full_l1_rank_flip_to_notflip,mean_full_l1_pct_flip_to_notflip,median_full_l1_distance,median_full_l1_rank_notflip_to_flip,median_full_l1_pct_notflip_to_flip,median_full_l1_rank_flip_to_notflip,median_full_l1_pct_flip_to_notflip,border_l1_distance,border_l1_rank_notflip_to_flip,border_l1_pct_notflip_to_flip,border_l1_rank_flip_to_notflip,border_l1_pct_flip_to_notflip,center_l1_distance,center_l1_rank_notflip_to_flip,center_l1_pct_notflip_to_flip,center_l1_rank_flip_to_notflip,center_l1_pct_flip_to_notflip,color_hist_cosine_distance,color_hist_cosine_rank_notflip_to_flip,color_hist_cosine_pct_notflip_to_flip,color_hist_cosine_rank_flip_to_notflip,color_hist_cosine_pct_flip_to_notflip,composite_mean_percentile,composite_median_percentile
0047,30,25,0.173654243350029,62.0,0.953125,27.0,0.5098039215686274,0.18349306285381317,62.0,0.953125,33.0,0.6274509803921569,0.1988781988620758,63.0,0.96875,31.0,0.5882352941176471,0.13430486619472504,49.0,0.75,25.0,0.47058823529411764,0.20944297313690186,48.0,0.734375,39.0,0.7450980392156863,0.7300551470588236,0.7397365196078431
0048,30,22,0.18757684528827667,63.0,0.96875,36.0,0.6862745098039216,0.1907079964876175,63.0,0.96875,35.0,0.6666666666666666,0.20580118894577026,65.0,1.0,38.0,0.7254901960784313,0.15914687514305115,51.0,0.78125,33.0,0.6274509803921569,0.22263103723526,53.0,0.8125,27.0,0.5098039215686274,0.7746936274509804,0.7533700980392157
0049,30,14,0.08876707404851913,17.0,0.25,13.0,0.23529411764705882,0.0897633358836174,15.0,0.21875,8.0,0.13725490196078433,0.0733427032828331,17.0,0.25,16.0,0.29411764705882354,0.11282908171415329,19.0,0.28125,13.0,0.23529411764705882,0.23856860399246216,57.0,0.875,9.0,0.1568627450980392,0.2933823529411765,0.2426470588235294
0050,29,14,0.07416784018278122,13.0,0.1875,12.0,0.21568627450980393,0.07862141728401184,11.0,0.15625,12.0,0.21568627450980393,0.06035243719816208,14.0,0.203125,14.0,0.2549019607843137,0.09571988135576248,15.0,0.21875,11.0,0.19607843137254902,0.2580661177635193,54.0,0.828125,22.0,0.4117647058823529,0.2887867647058823,0.21568627450980393
0051,30,16,0.07360648363828659,12.0,0.171875,13.0,0.23529411764705882,0.0731743723154068,13.0,0.1875,12.0,0.21568627450980393,0.05358116328716278,9.0,0.125,12.0,0.21568627450980393,0.10484596341848373,13.0,0.1875,13.0,0.23529411764705882,0.023100316524505615,4.0,0.046875,1.0,0.0,0.16207107843137253,0.1875
0052,30,17,0.08472130447626114,16.0,0.234375,15.0,0.27450980392156865,0.09379643201828003,16.0,0.234375,13.0,0.23529411764705882,0.06226373836398125,15.0,0.21875,13.0,0.23529411764705882,0.11975511908531189,20.0,0.296875,25.0,0.47058823529411764,0.15636861324310303,32.0,0.484375,16.0,0.29411764705882354,0.29785539215686274,0.2549019607843137
0053,30,30,0.0778641477227211,6.0,0.078125,18.0,0.3333333333333333,0.07921373844146729,5.0,0.0625,18.0,0.3333333333333333,0.055140793323516846,5.0,0.0625,16.0,0.29411764705882354,0.11331257969141006,4.0,0.046875,26.0,0.49019607843137253,0.11158990859985352,22.0,0.328125,12.0,0.21568627450980393,0.2244791666666667,0.2549019607843137
0054,30,22,0.08297889679670334,9.0,0.125,17.0,0.3137254901960784,0.09101387113332748,10.0,0.140625,17.0,0.3137254901960784,0.07008622586727142,10.0,0.140625,18.0,0.3333333333333333,0.10309146344661713,13.0,0.1875,18.0,0.3333333333333333,0.24192661046981812,47.0,0.71875,31.0,0.5882352941176471,0.31948529411764703,0.3137254901960784
0055,30,20,0.0752120092511177,7.0,0.09375,16.0,0.29411764705882354,0.0779004916548729,6.0,0.078125,16.0,0.29411764705882354,0.05309904366731644,7.0,0.09375,14.0,0.2549019607843137,0.10970824956893921,7.0,0.09375,18.0,0.3333333333333333,0.1401844024658203,36.0,0.546875,18.0,0.3333333333333333,0.24160539215686275,0.27450980392156865
0056,30,17,0.08486998081207275,12.0,0.171875,16.0,0.29411764705882354,0.09157124906778336,13.0,0.1875,14.0,0.2549019607843137,0.06640234589576721,11.0,0.15625,16.0,0.29411764705882354,0.11367947608232498,13.0,0.1875,19.0,0.35294117647058826,0.2370232343673706,51.0,0.78125,28.0,0.5294117647058824,0.32098651960784313,0.27450980392156865
0057,30,20,0.06397891789674759,10.0,0.140625,4.0,0.058823529411764705,0.062030550092458725,9.0,0.125,4.0,0.058823529411764705,0.04543718695640564,7.0,0.09375,2.0,0.0196078431372549,0.09290402382612228,11.0,0.15625,8.0,0.13725490196078433,0.1886017918586731,42.0,0.640625,7.0,0.11764705882352941,0.1548406862745098,0.1213235294117647
0058,30,29,0.07405087351799011,9.0,0.125,13.0,0.23529411764705882,0.0709499791264534,4.0,0.046875,14.0,0.2549019607843137,0.060109153389930725,11.0,0.15625,11.0,0.19607843137254902,0.09579996764659882,5.0,0.0625,14.0,0.2549019607843137,0.2896214723587036,58.0,0.890625,24.0,0.45098039215686275,0.26734068627450985,0.21568627450980393
